model,fold,threshold,TN,FP,FN,TP,recall,precision,f1,roc_auc
Logistic Regression,1,0.5,1543,3,44,10,0.18518518518518517,0.7692307692307693,0.29850746268656714,0.9235182789516554
Logistic Regression,2,0.5,1543,3,42,12,0.2222222222222222,0.8,0.34782608695652173,0.8738920032581093
Logistic Regression,3,0.5,1536,10,41,13,0.24074074074074073,0.5652173913043478,0.33766233766233766,0.8826242154185233
Logistic Regression,4,0.5,1545,1,45,9,0.16666666666666666,0.9,0.28125,0.8958243495759667
Logistic Regression,5,0.5,1542,3,45,10,0.18181818181818182,0.7692307692307693,0.29411764705882354,0.8931803471609298
Decision Tree,1,0.5,1534,12,12,42,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8850079057064827
Decision Tree,2,0.5,1528,18,19,35,0.6481481481481481,0.660377358490566,0.6542056074766355,0.8182525993004647
Decision Tree,3,0.5,1535,11,20,34,0.6296296296296297,0.7555555555555555,0.6868686868686869,0.8112572468976093
Decision Tree,4,0.5,1531,15,20,34,0.6296296296296297,0.6938775510204082,0.6601941747572816,0.8099635858368072
Decision Tree,5,0.5,1524,21,18,37,0.6727272727272727,0.6379310344827587,0.6548672566371682,0.8295675198587822
Random Forest,1,0.5,1541,5,25,29,0.5370370370370371,0.8529411764705882,0.6590909090909091,0.9834698864453069
Random Forest,2,0.5,1544,2,32,22,0.4074074074074074,0.9166666666666666,0.5641025641025641,0.973270327248335
Random Forest,3,0.5,1541,5,24,30,0.5555555555555556,0.8571428571428571,0.6741573033707865,0.9500263523549424
Random Forest,4,0.5,1541,5,30,24,0.4444444444444444,0.8275862068965517,0.5783132530120482,0.9699942503952853
Random Forest,5,0.5,1541,4,31,24,0.43636363636363634,0.8571428571428571,0.5783132530120482,0.9559399823477494
