model,threshold,TN,FP,FN,TP,recall,precision,f1,far
Decision Tree,0.05,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.1,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.15000000000000002,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.2,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.25,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.3,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.35000000000000003,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.4,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.45,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.5,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.55,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.6000000000000001,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.6500000000000001,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.7000000000000001,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.7500000000000001,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.8,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.8500000000000001,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.9000000000000001,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Decision Tree,0.9500000000000001,7652,77,89,182,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877
Logistic Regression,0.05,6761,968,73,198,0.7306273062730627,0.16981132075471697,0.2755741127348643,0.12524259283219044
Logistic Regression,0.1,7271,458,100,171,0.6309963099630996,0.2718600953895072,0.38,0.05925734247638763
Logistic Regression,0.15000000000000002,7484,245,117,154,0.5682656826568265,0.38596491228070173,0.4597014925373134,0.03169879673955234
Logistic Regression,0.2,7567,162,128,143,0.5276752767527675,0.46885245901639344,0.4965277777777778,0.020960020701255015
Logistic Regression,0.25,7618,111,151,120,0.44280442804428044,0.5194805194805194,0.47808764940239046,0.01436149566567473
Logistic Regression,0.3,7656,73,168,103,0.3800738007380074,0.5852272727272727,0.4608501118568233,0.009444947599948246
Logistic Regression,0.35000000000000003,7672,57,183,88,0.3247232472324723,0.6068965517241379,0.4230769230769231,0.007374822098589727
Logistic Regression,0.4,7689,40,195,76,0.28044280442804426,0.6551724137931034,0.39276485788113696,0.005175313753396299
Logistic Regression,0.45,7700,29,207,64,0.23616236162361623,0.6881720430107527,0.3516483516483517,0.003752102471212317
Logistic Regression,0.5,7709,20,217,54,0.1992619926199262,0.7297297297297297,0.3130434782608696,0.0025876568766981497
Logistic Regression,0.55,7717,12,222,49,0.18081180811808117,0.8032786885245902,0.29518072289156627,0.0015525941260188898
Logistic Regression,0.6000000000000001,7721,8,226,45,0.16605166051660517,0.8490566037735849,0.2777777777777778,0.0010350627506792599
Logistic Regression,0.6500000000000001,7724,5,229,42,0.15498154981549817,0.8936170212765957,0.2641509433962264,0.0006469142191745374
Logistic Regression,0.7000000000000001,7726,3,239,32,0.11808118081180811,0.9142857142857143,0.20915032679738563,0.00038814853150472245
Logistic Regression,0.7500000000000001,7727,2,244,27,0.0996309963099631,0.9310344827586207,0.18,0.00025876568766981497
Logistic Regression,0.8,7727,2,254,17,0.06273062730627306,0.8947368421052632,0.11724137931034483,0.00025876568766981497
Logistic Regression,0.8500000000000001,7728,1,260,11,0.04059040590405904,0.9166666666666666,0.07773851590106007,0.00012938284383490748
Logistic Regression,0.9000000000000001,7729,0,265,6,0.02214022140221402,1.0,0.04332129963898917,0.0
Logistic Regression,0.9500000000000001,7729,0,271,0,0.0,0.0,0.0,0.0
Random Forest,0.05,7043,686,22,249,0.9188191881918819,0.2663101604278075,0.4129353233830846,0.08875663087074653
Random Forest,0.1,7345,384,33,238,0.8782287822878229,0.38263665594855306,0.5330347144456887,0.04968301203260447
Random Forest,0.15000000000000002,7498,231,45,226,0.8339483394833949,0.49452954048140046,0.6208791208791209,0.029887436925863632
Random Forest,0.2,7563,166,51,220,0.8118081180811808,0.5699481865284974,0.669710806697108,0.021477552076594644
Random Forest,0.25,7618,111,59,212,0.7822878228782287,0.6563467492260062,0.7138047138047138,0.01436149566567473
Random Forest,0.3,7656,73,70,201,0.7416974169741697,0.7335766423357665,0.7376146788990826,0.009444947599948246
Random Forest,0.35000000000000003,7682,47,90,181,0.6678966789667896,0.793859649122807,0.7254509018036072,0.006080993660240652
Random Forest,0.4,7692,37,105,166,0.6125461254612546,0.8177339901477833,0.70042194092827,0.0047871652218915775
Random Forest,0.45,7701,28,124,147,0.5424354243542435,0.84,0.6591928251121076,0.00362271962737741
Random Forest,0.5,7708,21,142,129,0.47601476014760147,0.86,0.6128266033254157,0.0027170397205330574
Random Forest,0.55,7716,13,158,113,0.41697416974169743,0.8968253968253969,0.5692695214105793,0.0016819769698537975
Random Forest,0.6000000000000001,7720,9,173,98,0.36162361623616235,0.9158878504672897,0.5185185185185185,0.0011644455945141673
Random Forest,0.6500000000000001,7722,7,185,86,0.3173431734317343,0.9247311827956989,0.4725274725274725,0.0009056799068443525
Random Forest,0.7000000000000001,7724,5,200,71,0.26199261992619927,0.9342105263157895,0.4092219020172911,0.0006469142191745374
Random Forest,0.7500000000000001,7727,2,219,52,0.1918819188191882,0.9629629629629629,0.32,0.00025876568766981497
Random Forest,0.8,7727,2,229,42,0.15498154981549817,0.9545454545454546,0.26666666666666666,0.00025876568766981497
Random Forest,0.8500000000000001,7729,0,251,20,0.07380073800738007,1.0,0.13745704467353953,0.0
Random Forest,0.9000000000000001,7729,0,264,7,0.025830258302583026,1.0,0.050359712230215826,0.0
Random Forest,0.9500000000000001,7729,0,270,1,0.0036900369003690036,1.0,0.007352941176470588,0.0
