minimum_recall,model,feasible,threshold,recall,precision,f1,far,tn,fp,fn,tp
0.6,Logistic Regression,True,0.1,0.6309963099630996,0.2718600953895072,0.38,0.05925734247638763,7271.0,458.0,100.0,171.0
0.6,Decision Tree,True,0.05,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652.0,77.0,89.0,182.0
0.6,Random Forest,True,0.3,0.7416974169741697,0.7335766423357665,0.7376146788990824,0.009444947599948246,7656.0,73.0,70.0,201.0
0.7,Logistic Regression,True,0.05,0.7306273062730627,0.16981132075471697,0.2755741127348643,0.12524259283219044,6761.0,968.0,73.0,198.0
0.7,Decision Tree,False,,,,,,,,,
0.7,Random Forest,True,0.3,0.7416974169741697,0.7335766423357665,0.7376146788990824,0.009444947599948246,7656.0,73.0,70.0,201.0
0.8,Logistic Regression,False,,,,,,,,,
0.8,Decision Tree,False,,,,,,,,,
0.8,Random Forest,True,0.2,0.8118081180811808,0.5699481865284974,0.6697108066971081,0.021477552076594644,7563.0,166.0,51.0,220.0
0.9,Logistic Regression,False,,,,,,,,,
0.9,Decision Tree,False,,,,,,,,,
0.9,Random Forest,True,0.05,0.9188191881918819,0.2663101604278075,0.41293532338308453,0.08875663087074653,7043.0,686.0,22.0,249.0
0.95,Logistic Regression,False,,,,,,,,,
0.95,Decision Tree,False,,,,,,,,,
0.95,Random Forest,False,,,,,,,,,
