minimum_recall,model,threshold,recall,precision,f1,far,tn,fp,fn,tp
0.6,Logistic Regression,0.05,0.7306273062730627,0.16981132075471697,0.2755741127348643,0.12524259283219044,6761,968,73,198
0.6,Logistic Regression,0.1,0.6309963099630996,0.2718600953895072,0.38,0.05925734247638763,7271,458,100,171
0.6,Decision Tree,0.05,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.1,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.15,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.2,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.25,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.3,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.35,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.4,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.45,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.5,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.55,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.6,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.65,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.7,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.75,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.8,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.85,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.9,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Decision Tree,0.95,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182
0.6,Random Forest,0.05,0.9188191881918819,0.2663101604278075,0.41293532338308453,0.08875663087074653,7043,686,22,249
0.6,Random Forest,0.1,0.8782287822878229,0.38263665594855306,0.5330347144456887,0.04968301203260447,7345,384,33,238
0.6,Random Forest,0.15,0.8487084870848709,0.4742268041237113,0.6084656084656084,0.03299262517790141,7474,255,41,230
0.6,Random Forest,0.2,0.8118081180811808,0.5699481865284974,0.6697108066971081,0.021477552076594644,7563,166,51,220
0.6,Random Forest,0.25,0.7822878228782287,0.6563467492260062,0.7138047138047138,0.01436149566567473,7618,111,59,212
0.6,Random Forest,0.3,0.7416974169741697,0.7335766423357665,0.7376146788990824,0.009444947599948246,7656,73,70,201
0.6,Random Forest,0.35,0.6752767527675276,0.7956521739130434,0.7305389221556885,0.006080993660240652,7682,47,88,183
0.6,Random Forest,0.4,0.6125461254612546,0.8177339901477833,0.7004219409282701,0.0047871652218915775,7692,37,105,166
0.7,Logistic Regression,0.05,0.7306273062730627,0.16981132075471697,0.2755741127348643,0.12524259283219044,6761,968,73,198
0.7,Random Forest,0.05,0.9188191881918819,0.2663101604278075,0.41293532338308453,0.08875663087074653,7043,686,22,249
0.7,Random Forest,0.1,0.8782287822878229,0.38263665594855306,0.5330347144456887,0.04968301203260447,7345,384,33,238
0.7,Random Forest,0.15,0.8487084870848709,0.4742268041237113,0.6084656084656084,0.03299262517790141,7474,255,41,230
0.7,Random Forest,0.2,0.8118081180811808,0.5699481865284974,0.6697108066971081,0.021477552076594644,7563,166,51,220
0.7,Random Forest,0.25,0.7822878228782287,0.6563467492260062,0.7138047138047138,0.01436149566567473,7618,111,59,212
0.7,Random Forest,0.3,0.7416974169741697,0.7335766423357665,0.7376146788990824,0.009444947599948246,7656,73,70,201
0.8,Random Forest,0.05,0.9188191881918819,0.2663101604278075,0.41293532338308453,0.08875663087074653,7043,686,22,249
0.8,Random Forest,0.1,0.8782287822878229,0.38263665594855306,0.5330347144456887,0.04968301203260447,7345,384,33,238
0.8,Random Forest,0.15,0.8487084870848709,0.4742268041237113,0.6084656084656084,0.03299262517790141,7474,255,41,230
0.8,Random Forest,0.2,0.8118081180811808,0.5699481865284974,0.6697108066971081,0.021477552076594644,7563,166,51,220
0.9,Random Forest,0.05,0.9188191881918819,0.2663101604278075,0.41293532338308453,0.08875663087074653,7043,686,22,249
