cost_scenario,fp_cost,fn_cost,model,threshold,recall,precision,f1,far,tn,fp,fn,tp,total_cost
C1,1,1,Random Forest,0.35,0.6752767527675276,0.7956521739130434,0.7305389221556885,0.006080993660240652,7682,47,88,183,135
C1,1,1,Decision Tree,0.05,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C1,1,1,Logistic Regression,0.55,0.18081180811808117,0.8032786885245902,0.29518072289156627,0.0015525941260188898,7717,12,222,49,234
C2,1,2,Random Forest,0.3,0.7416974169741697,0.7335766423357665,0.7376146788990824,0.009444947599948246,7656,73,70,201,213
C2,1,2,Decision Tree,0.05,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C2,1,2,Logistic Regression,0.3,0.3800738007380074,0.5852272727272727,0.4608501118568233,0.009444947599948246,7656,73,168,103,409
C3,1,5,Random Forest,0.25,0.7822878228782287,0.6563467492260062,0.7138047138047138,0.01436149566567473,7618,111,59,212,406
C3,1,5,Decision Tree,0.05,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C3,1,5,Logistic Regression,0.2,0.5276752767527675,0.46885245901639344,0.4965277777777778,0.020960020701255015,7567,162,128,143,802
C4,1,10,Random Forest,0.15,0.8487084870848709,0.4742268041237113,0.6084656084656084,0.03299262517790141,7474,255,41,230,665
C4,1,10,Decision Tree,0.05,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C4,1,10,Logistic Regression,0.15,0.5682656826568265,0.38596491228070173,0.4597014925373134,0.03169879673955234,7484,245,117,154,1415
