minimum_recall,cost_scenario,fp_cost,fn_cost,model,threshold,recall,precision,f1,far,tn,fp,fn,tp,total_cost,feasible
0.6,C1,1,1,Logistic Regression,0.1,0.6309963099630996,0.2718600953895072,0.38,0.05925734247638763,7271.0,458.0,100.0,171.0,558.0,True
0.6,C1,1,1,Decision Tree,0.05,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652.0,77.0,89.0,182.0,166.0,True
0.6,C1,1,1,Random Forest,0.35,0.6752767527675276,0.7956521739130434,0.7305389221556885,0.006080993660240652,7682.0,47.0,88.0,183.0,135.0,True
0.6,C2,1,2,Logistic Regression,0.1,0.6309963099630996,0.2718600953895072,0.38,0.05925734247638763,7271.0,458.0,100.0,171.0,658.0,True
0.6,C2,1,2,Decision Tree,0.05,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652.0,77.0,89.0,182.0,255.0,True
0.6,C2,1,2,Random Forest,0.3,0.7416974169741697,0.7335766423357665,0.7376146788990824,0.009444947599948246,7656.0,73.0,70.0,201.0,213.0,True
0.6,C3,1,5,Logistic Regression,0.1,0.6309963099630996,0.2718600953895072,0.38,0.05925734247638763,7271.0,458.0,100.0,171.0,958.0,True
0.6,C3,1,5,Decision Tree,0.05,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652.0,77.0,89.0,182.0,522.0,True
0.6,C3,1,5,Random Forest,0.25,0.7822878228782287,0.6563467492260062,0.7138047138047138,0.01436149566567473,7618.0,111.0,59.0,212.0,406.0,True
0.6,C4,1,10,Logistic Regression,0.1,0.6309963099630996,0.2718600953895072,0.38,0.05925734247638763,7271.0,458.0,100.0,171.0,1458.0,True
0.6,C4,1,10,Decision Tree,0.05,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652.0,77.0,89.0,182.0,967.0,True
0.6,C4,1,10,Random Forest,0.15,0.8487084870848709,0.4742268041237113,0.6084656084656084,0.03299262517790141,7474.0,255.0,41.0,230.0,665.0,True
0.7,C1,1,1,Logistic Regression,0.05,0.7306273062730627,0.16981132075471697,0.2755741127348643,0.12524259283219044,6761.0,968.0,73.0,198.0,1041.0,True
0.7,C1,1,1,Decision Tree,,,,,,,,,,,False
0.7,C1,1,1,Random Forest,0.3,0.7416974169741697,0.7335766423357665,0.7376146788990824,0.009444947599948246,7656.0,73.0,70.0,201.0,143.0,True
0.7,C2,1,2,Logistic Regression,0.05,0.7306273062730627,0.16981132075471697,0.2755741127348643,0.12524259283219044,6761.0,968.0,73.0,198.0,1114.0,True
0.7,C2,1,2,Decision Tree,,,,,,,,,,,False
0.7,C2,1,2,Random Forest,0.3,0.7416974169741697,0.7335766423357665,0.7376146788990824,0.009444947599948246,7656.0,73.0,70.0,201.0,213.0,True
0.7,C3,1,5,Logistic Regression,0.05,0.7306273062730627,0.16981132075471697,0.2755741127348643,0.12524259283219044,6761.0,968.0,73.0,198.0,1333.0,True
0.7,C3,1,5,Decision Tree,,,,,,,,,,,False
0.7,C3,1,5,Random Forest,0.25,0.7822878228782287,0.6563467492260062,0.7138047138047138,0.01436149566567473,7618.0,111.0,59.0,212.0,406.0,True
0.7,C4,1,10,Logistic Regression,0.05,0.7306273062730627,0.16981132075471697,0.2755741127348643,0.12524259283219044,6761.0,968.0,73.0,198.0,1698.0,True
0.7,C4,1,10,Decision Tree,,,,,,,,,,,False
0.7,C4,1,10,Random Forest,0.15,0.8487084870848709,0.4742268041237113,0.6084656084656084,0.03299262517790141,7474.0,255.0,41.0,230.0,665.0,True
0.8,C1,1,1,Logistic Regression,,,,,,,,,,,False
0.8,C1,1,1,Decision Tree,,,,,,,,,,,False
0.8,C1,1,1,Random Forest,0.2,0.8118081180811808,0.5699481865284974,0.6697108066971081,0.021477552076594644,7563.0,166.0,51.0,220.0,217.0,True
0.8,C2,1,2,Logistic Regression,,,,,,,,,,,False
0.8,C2,1,2,Decision Tree,,,,,,,,,,,False
0.8,C2,1,2,Random Forest,0.2,0.8118081180811808,0.5699481865284974,0.6697108066971081,0.021477552076594644,7563.0,166.0,51.0,220.0,268.0,True
0.8,C3,1,5,Logistic Regression,,,,,,,,,,,False
0.8,C3,1,5,Decision Tree,,,,,,,,,,,False
0.8,C3,1,5,Random Forest,0.2,0.8118081180811808,0.5699481865284974,0.6697108066971081,0.021477552076594644,7563.0,166.0,51.0,220.0,421.0,True
0.8,C4,1,10,Logistic Regression,,,,,,,,,,,False
0.8,C4,1,10,Decision Tree,,,,,,,,,,,False
0.8,C4,1,10,Random Forest,0.15,0.8487084870848709,0.4742268041237113,0.6084656084656084,0.03299262517790141,7474.0,255.0,41.0,230.0,665.0,True
0.9,C1,1,1,Logistic Regression,,,,,,,,,,,False
0.9,C1,1,1,Decision Tree,,,,,,,,,,,False
0.9,C1,1,1,Random Forest,0.05,0.9188191881918819,0.2663101604278075,0.41293532338308453,0.08875663087074653,7043.0,686.0,22.0,249.0,708.0,True
0.9,C2,1,2,Logistic Regression,,,,,,,,,,,False
0.9,C2,1,2,Decision Tree,,,,,,,,,,,False
0.9,C2,1,2,Random Forest,0.05,0.9188191881918819,0.2663101604278075,0.41293532338308453,0.08875663087074653,7043.0,686.0,22.0,249.0,730.0,True
0.9,C3,1,5,Logistic Regression,,,,,,,,,,,False
0.9,C3,1,5,Decision Tree,,,,,,,,,,,False
