cost_scenario,fp_cost,fn_cost,model,threshold,recall,precision,f1,far,tn,fp,fn,tp,total_cost
C1,1,1,Logistic Regression,0.05,0.7306273062730627,0.16981132075471697,0.2755741127348643,0.12524259283219044,6761,968,73,198,1041
C2,1,2,Logistic Regression,0.05,0.7306273062730627,0.16981132075471697,0.2755741127348643,0.12524259283219044,6761,968,73,198,1114
C3,1,5,Logistic Regression,0.05,0.7306273062730627,0.16981132075471697,0.2755741127348643,0.12524259283219044,6761,968,73,198,1333
C4,1,10,Logistic Regression,0.05,0.7306273062730627,0.16981132075471697,0.2755741127348643,0.12524259283219044,6761,968,73,198,1698
C1,1,1,Logistic Regression,0.1,0.6309963099630996,0.2718600953895072,0.38,0.05925734247638763,7271,458,100,171,558
C2,1,2,Logistic Regression,0.1,0.6309963099630996,0.2718600953895072,0.38,0.05925734247638763,7271,458,100,171,658
C3,1,5,Logistic Regression,0.1,0.6309963099630996,0.2718600953895072,0.38,0.05925734247638763,7271,458,100,171,958
C4,1,10,Logistic Regression,0.1,0.6309963099630996,0.2718600953895072,0.38,0.05925734247638763,7271,458,100,171,1458
C1,1,1,Logistic Regression,0.15,0.5682656826568265,0.38596491228070173,0.4597014925373134,0.03169879673955234,7484,245,117,154,362
C2,1,2,Logistic Regression,0.15,0.5682656826568265,0.38596491228070173,0.4597014925373134,0.03169879673955234,7484,245,117,154,479
C3,1,5,Logistic Regression,0.15,0.5682656826568265,0.38596491228070173,0.4597014925373134,0.03169879673955234,7484,245,117,154,830
C4,1,10,Logistic Regression,0.15,0.5682656826568265,0.38596491228070173,0.4597014925373134,0.03169879673955234,7484,245,117,154,1415
C1,1,1,Logistic Regression,0.2,0.5276752767527675,0.46885245901639344,0.4965277777777778,0.020960020701255015,7567,162,128,143,290
C2,1,2,Logistic Regression,0.2,0.5276752767527675,0.46885245901639344,0.4965277777777778,0.020960020701255015,7567,162,128,143,418
C3,1,5,Logistic Regression,0.2,0.5276752767527675,0.46885245901639344,0.4965277777777778,0.020960020701255015,7567,162,128,143,802
C4,1,10,Logistic Regression,0.2,0.5276752767527675,0.46885245901639344,0.4965277777777778,0.020960020701255015,7567,162,128,143,1442
C1,1,1,Logistic Regression,0.25,0.44280442804428044,0.5194805194805194,0.4780876494023904,0.01436149566567473,7618,111,151,120,262
C2,1,2,Logistic Regression,0.25,0.44280442804428044,0.5194805194805194,0.4780876494023904,0.01436149566567473,7618,111,151,120,413
C3,1,5,Logistic Regression,0.25,0.44280442804428044,0.5194805194805194,0.4780876494023904,0.01436149566567473,7618,111,151,120,866
C4,1,10,Logistic Regression,0.25,0.44280442804428044,0.5194805194805194,0.4780876494023904,0.01436149566567473,7618,111,151,120,1621
C1,1,1,Logistic Regression,0.3,0.3800738007380074,0.5852272727272727,0.4608501118568233,0.009444947599948246,7656,73,168,103,241
C2,1,2,Logistic Regression,0.3,0.3800738007380074,0.5852272727272727,0.4608501118568233,0.009444947599948246,7656,73,168,103,409
C3,1,5,Logistic Regression,0.3,0.3800738007380074,0.5852272727272727,0.4608501118568233,0.009444947599948246,7656,73,168,103,913
C4,1,10,Logistic Regression,0.3,0.3800738007380074,0.5852272727272727,0.4608501118568233,0.009444947599948246,7656,73,168,103,1753
C1,1,1,Logistic Regression,0.35,0.3247232472324723,0.6068965517241379,0.4230769230769231,0.007374822098589727,7672,57,183,88,240
C2,1,2,Logistic Regression,0.35,0.3247232472324723,0.6068965517241379,0.4230769230769231,0.007374822098589727,7672,57,183,88,423
C3,1,5,Logistic Regression,0.35,0.3247232472324723,0.6068965517241379,0.4230769230769231,0.007374822098589727,7672,57,183,88,972
C4,1,10,Logistic Regression,0.35,0.3247232472324723,0.6068965517241379,0.4230769230769231,0.007374822098589727,7672,57,183,88,1887
C1,1,1,Logistic Regression,0.4,0.28044280442804426,0.6551724137931034,0.3927648578811369,0.005175313753396299,7689,40,195,76,235
C2,1,2,Logistic Regression,0.4,0.28044280442804426,0.6551724137931034,0.3927648578811369,0.005175313753396299,7689,40,195,76,430
C3,1,5,Logistic Regression,0.4,0.28044280442804426,0.6551724137931034,0.3927648578811369,0.005175313753396299,7689,40,195,76,1015
C4,1,10,Logistic Regression,0.4,0.28044280442804426,0.6551724137931034,0.3927648578811369,0.005175313753396299,7689,40,195,76,1990
C1,1,1,Logistic Regression,0.45,0.23616236162361623,0.6881720430107527,0.3516483516483516,0.003752102471212317,7700,29,207,64,236
C2,1,2,Logistic Regression,0.45,0.23616236162361623,0.6881720430107527,0.3516483516483516,0.003752102471212317,7700,29,207,64,443
C3,1,5,Logistic Regression,0.45,0.23616236162361623,0.6881720430107527,0.3516483516483516,0.003752102471212317,7700,29,207,64,1064
C4,1,10,Logistic Regression,0.45,0.23616236162361623,0.6881720430107527,0.3516483516483516,0.003752102471212317,7700,29,207,64,2099
C1,1,1,Logistic Regression,0.5,0.1992619926199262,0.7297297297297297,0.3130434782608696,0.0025876568766981497,7709,20,217,54,237
C2,1,2,Logistic Regression,0.5,0.1992619926199262,0.7297297297297297,0.3130434782608696,0.0025876568766981497,7709,20,217,54,454
C3,1,5,Logistic Regression,0.5,0.1992619926199262,0.7297297297297297,0.3130434782608696,0.0025876568766981497,7709,20,217,54,1105
C4,1,10,Logistic Regression,0.5,0.1992619926199262,0.7297297297297297,0.3130434782608696,0.0025876568766981497,7709,20,217,54,2190
C1,1,1,Logistic Regression,0.55,0.18081180811808117,0.8032786885245902,0.29518072289156627,0.0015525941260188898,7717,12,222,49,234
C2,1,2,Logistic Regression,0.55,0.18081180811808117,0.8032786885245902,0.29518072289156627,0.0015525941260188898,7717,12,222,49,456
C3,1,5,Logistic Regression,0.55,0.18081180811808117,0.8032786885245902,0.29518072289156627,0.0015525941260188898,7717,12,222,49,1122
C4,1,10,Logistic Regression,0.55,0.18081180811808117,0.8032786885245902,0.29518072289156627,0.0015525941260188898,7717,12,222,49,2232
C1,1,1,Logistic Regression,0.6,0.16605166051660517,0.8490566037735849,0.2777777777777778,0.0010350627506792599,7721,8,226,45,234
C2,1,2,Logistic Regression,0.6,0.16605166051660517,0.8490566037735849,0.2777777777777778,0.0010350627506792599,7721,8,226,45,460
C3,1,5,Logistic Regression,0.6,0.16605166051660517,0.8490566037735849,0.2777777777777778,0.0010350627506792599,7721,8,226,45,1138
C4,1,10,Logistic Regression,0.6,0.16605166051660517,0.8490566037735849,0.2777777777777778,0.0010350627506792599,7721,8,226,45,2268
C1,1,1,Logistic Regression,0.65,0.15498154981549817,0.8936170212765957,0.26415094339622647,0.0006469142191745374,7724,5,229,42,234
C2,1,2,Logistic Regression,0.65,0.15498154981549817,0.8936170212765957,0.26415094339622647,0.0006469142191745374,7724,5,229,42,463
C3,1,5,Logistic Regression,0.65,0.15498154981549817,0.8936170212765957,0.26415094339622647,0.0006469142191745374,7724,5,229,42,1150
C4,1,10,Logistic Regression,0.65,0.15498154981549817,0.8936170212765957,0.26415094339622647,0.0006469142191745374,7724,5,229,42,2295
C1,1,1,Logistic Regression,0.7,0.11808118081180811,0.9142857142857143,0.2091503267973856,0.00038814853150472245,7726,3,239,32,242
C2,1,2,Logistic Regression,0.7,0.11808118081180811,0.9142857142857143,0.2091503267973856,0.00038814853150472245,7726,3,239,32,481
C3,1,5,Logistic Regression,0.7,0.11808118081180811,0.9142857142857143,0.2091503267973856,0.00038814853150472245,7726,3,239,32,1198
C4,1,10,Logistic Regression,0.7,0.11808118081180811,0.9142857142857143,0.2091503267973856,0.00038814853150472245,7726,3,239,32,2393
C1,1,1,Logistic Regression,0.75,0.0996309963099631,0.9310344827586207,0.18,0.00025876568766981497,7727,2,244,27,246
C2,1,2,Logistic Regression,0.75,0.0996309963099631,0.9310344827586207,0.18,0.00025876568766981497,7727,2,244,27,490
C3,1,5,Logistic Regression,0.75,0.0996309963099631,0.9310344827586207,0.18,0.00025876568766981497,7727,2,244,27,1222
C4,1,10,Logistic Regression,0.75,0.0996309963099631,0.9310344827586207,0.18,0.00025876568766981497,7727,2,244,27,2442
C1,1,1,Logistic Regression,0.8,0.06273062730627306,0.8947368421052632,0.11724137931034481,0.00025876568766981497,7727,2,254,17,256
C2,1,2,Logistic Regression,0.8,0.06273062730627306,0.8947368421052632,0.11724137931034481,0.00025876568766981497,7727,2,254,17,510
C3,1,5,Logistic Regression,0.8,0.06273062730627306,0.8947368421052632,0.11724137931034481,0.00025876568766981497,7727,2,254,17,1272
C4,1,10,Logistic Regression,0.8,0.06273062730627306,0.8947368421052632,0.11724137931034481,0.00025876568766981497,7727,2,254,17,2542
C1,1,1,Logistic Regression,0.85,0.04059040590405904,0.9166666666666666,0.07773851590106007,0.00012938284383490748,7728,1,260,11,261
C2,1,2,Logistic Regression,0.85,0.04059040590405904,0.9166666666666666,0.07773851590106007,0.00012938284383490748,7728,1,260,11,521
C3,1,5,Logistic Regression,0.85,0.04059040590405904,0.9166666666666666,0.07773851590106007,0.00012938284383490748,7728,1,260,11,1301
C4,1,10,Logistic Regression,0.85,0.04059040590405904,0.9166666666666666,0.07773851590106007,0.00012938284383490748,7728,1,260,11,2601
C1,1,1,Logistic Regression,0.9,0.02214022140221402,1.0,0.04332129963898917,0.0,7729,0,265,6,265
C2,1,2,Logistic Regression,0.9,0.02214022140221402,1.0,0.04332129963898917,0.0,7729,0,265,6,530
C3,1,5,Logistic Regression,0.9,0.02214022140221402,1.0,0.04332129963898917,0.0,7729,0,265,6,1325
C4,1,10,Logistic Regression,0.9,0.02214022140221402,1.0,0.04332129963898917,0.0,7729,0,265,6,2650
C1,1,1,Logistic Regression,0.95,0.0,0.0,0.0,0.0,7729,0,271,0,271
C2,1,2,Logistic Regression,0.95,0.0,0.0,0.0,0.0,7729,0,271,0,542
C3,1,5,Logistic Regression,0.95,0.0,0.0,0.0,0.0,7729,0,271,0,1355
C4,1,10,Logistic Regression,0.95,0.0,0.0,0.0,0.0,7729,0,271,0,2710
