cost_scenario,fp_cost,fn_cost,model,threshold,recall,precision,f1,far,tn,fp,fn,tp,total_cost
C1,1,1,Random Forest,0.05,0.918819188191882,0.2663101604278075,0.4129353233830845,0.0887566308707465,7043,686,22,249,796
C2,1,2,Random Forest,0.05,0.918819188191882,0.2663101604278075,0.4129353233830845,0.0887566308707465,7043,686,22,249,796
C3,1,5,Random Forest,0.05,0.918819188191882,0.2663101604278075,0.4129353233830845,0.0887566308707465,7043,686,22,249,796
C4,1,10,Random Forest,0.05,0.918819188191882,0.2663101604278075,0.4129353233830845,0.0887566308707465,7043,686,22,249,796
C1,1,1,Random Forest,0.1,0.8782287822878229,0.382636655948553,0.5330347144456887,0.0496830120326044,7345,384,33,238,549
C2,1,2,Random Forest,0.1,0.8782287822878229,0.382636655948553,0.5330347144456887,0.0496830120326044,7345,384,33,238,549
C3,1,5,Random Forest,0.1,0.8782287822878229,0.382636655948553,0.5330347144456887,0.0496830120326044,7345,384,33,238,549
C4,1,10,Random Forest,0.1,0.8782287822878229,0.382636655948553,0.5330347144456887,0.0496830120326044,7345,384,33,238,549
C1,1,1,Random Forest,0.15,0.8487084870848709,0.4742268041237113,0.6084656084656084,0.0329926251779014,7474,255,41,230,460
C2,1,2,Random Forest,0.15,0.8487084870848709,0.4742268041237113,0.6084656084656084,0.0329926251779014,7474,255,41,230,460
C3,1,5,Random Forest,0.15,0.8487084870848709,0.4742268041237113,0.6084656084656084,0.0329926251779014,7474,255,41,230,460
C4,1,10,Random Forest,0.15,0.8487084870848709,0.4742268041237113,0.6084656084656084,0.0329926251779014,7474,255,41,230,460
C1,1,1,Random Forest,0.2,0.8118081180811808,0.5699481865284974,0.6697108066971081,0.0214775520765946,7563,166,51,220,421
C2,1,2,Random Forest,0.2,0.8118081180811808,0.5699481865284974,0.6697108066971081,0.0214775520765946,7563,166,51,220,421
C3,1,5,Random Forest,0.2,0.8118081180811808,0.5699481865284974,0.6697108066971081,0.0214775520765946,7563,166,51,220,421
C4,1,10,Random Forest,0.2,0.8118081180811808,0.5699481865284974,0.6697108066971081,0.0214775520765946,7563,166,51,220,421
