experiment,purpose,result_type,model,threshold,minimum_recall,cost_scenario,fp_cost,fn_cost,recall,precision,f1,roc_auc,far,fp,fn,tp,tn,total_cost,observation
Experiment 1,Baseline model comparison at threshold 0.50,Baseline,Decision Tree,0.5,,,,,0.6715824915824916,0.7051038554654132,0.68678270070351,0.8308097715200292,,,,,,,Baseline comparison using the standard 0.50 classification threshold.
Experiment 1,Baseline model comparison at threshold 0.50,Baseline,Logistic Regression,0.5,,,,,0.1993265993265993,0.7607357859531773,0.31187270687285,0.8938078388730369,,,,,,,Baseline comparison using the standard 0.50 classification threshold.
Experiment 1,Baseline model comparison at threshold 0.50,Baseline,Random Forest,0.5,,,,,0.4761616161616161,0.8622959528639041,0.6107954565176712,0.9665401597583236,,,,,,,Baseline comparison using the standard 0.50 classification threshold.
Experiment 2,Generate out-of-fold probabilities for threshold analysis,Methodological result,,,,,,,,,,,,,,,,,"Generated one out-of-fold probability for each of the 8,000 development rows for each model. These predictions were used for threshold and cost analysis without touching the final test set."
Experiment 3,Study the effect of classification threshold,Best F1 threshold,Decision Tree,0.05,,,,,0.6715867158671587,0.7027027027027027,0.6867924528301886,,0.0099624789752878,77.0,89.0,182.0,7652.0,,Threshold giving the highest F1 score for this model on pooled out-of-fold development predictions.
Experiment 3,Study the effect of classification threshold,Best F1 threshold,Logistic Regression,0.2,,,,,0.5276752767527675,0.4688524590163934,0.4965277777777778,,0.020960020701255,162.0,128.0,143.0,7567.0,,Threshold giving the highest F1 score for this model on pooled out-of-fold development predictions.
Experiment 3,Study the effect of classification threshold,Best F1 threshold,Random Forest,0.3,,,,,0.7416974169741697,0.7335766423357665,0.7376146788990826,,0.0094449475999482,73.0,70.0,201.0,7656.0,,Threshold giving the highest F1 score for this model on pooled out-of-fold development predictions.
Experiment 3,Study recall versus false alarms as threshold changes,Random Forest threshold point,Random Forest,0.5,,,,,0.4760147601476014,0.86,0.6128266033254157,,0.002717039720533,21.0,142.0,129.0,7708.0,,Lowering the threshold increases failure detection but also increases false alarms.
Experiment 3,Study recall versus false alarms as threshold changes,Random Forest threshold point,Random Forest,0.3,,,,,0.7416974169741697,0.7335766423357665,0.7376146788990826,,0.0094449475999482,73.0,70.0,201.0,7656.0,,Lowering the threshold increases failure detection but also increases false alarms.
Experiment 3,Study recall versus false alarms as threshold changes,Random Forest threshold point,Random Forest,0.2,,,,,0.8118081180811808,0.5699481865284974,0.669710806697108,,0.0214775520765946,166.0,51.0,220.0,7563.0,,Lowering the threshold increases failure detection but also increases false alarms.
Experiment 3,Study recall versus false alarms as threshold changes,Random Forest threshold point,Random Forest,0.1,,,,,0.8782287822878229,0.382636655948553,0.5330347144456887,,0.0496830120326044,384.0,33.0,238.0,7345.0,,Lowering the threshold increases failure detection but also increases false alarms.
Experiment 3,Study recall versus false alarms as threshold changes,Random Forest threshold point,Random Forest,0.05,,,,,0.918819188191882,0.2663101604278075,0.4129353233830846,,0.0887566308707465,686.0,22.0,249.0,7043.0,,Lowering the threshold increases failure detection but also increases false alarms.
Experiment 4,Determine which models can satisfy minimum recall requirements,Recall feasibility summary,,,0.6,,,,,,,,,,,,,,"Feasible models: Decision Tree, Logistic Regression, Random Forest. Infeasible models: None."
Experiment 4,Determine which models can satisfy minimum recall requirements,Recall feasibility summary,,,0.7,,,,,,,,,,,,,,"Feasible models: Logistic Regression, Random Forest. Infeasible models: Decision Tree."
Experiment 4,Determine which models can satisfy minimum recall requirements,Recall feasibility summary,,,0.8,,,,,,,,,,,,,,"Feasible models: Random Forest. Infeasible models: Decision Tree, Logistic Regression."
Experiment 4,Determine which models can satisfy minimum recall requirements,Recall feasibility summary,,,0.9,,,,,,,,,,,,,,"Feasible models: Random Forest. Infeasible models: Decision Tree, Logistic Regression."
Experiment 4,Determine which models can satisfy minimum recall requirements,Recall feasibility summary,,,0.95,,,,,,,,,,,,,,"Feasible models: None. Infeasible models: Decision Tree, Logistic Regression, Random Forest."
Experiment 5,Study model and threshold selection under asymmetric costs,Cost-only winning configuration,Random Forest,0.35,,C1,1.0,1.0,0.6752767527675276,0.7956521739130434,0.7305389221556885,,0.0060809936602406,47.0,88.0,183.0,7682.0,135.0,Lowest-cost configuration across the three models and tested thresholds for this cost scenario.
Experiment 5,Study model and threshold selection under asymmetric costs,Cost-only winning configuration,Random Forest,0.3,,C2,1.0,2.0,0.7416974169741697,0.7335766423357665,0.7376146788990824,,0.0094449475999482,73.0,70.0,201.0,7656.0,213.0,Lowest-cost configuration across the three models and tested thresholds for this cost scenario.
Experiment 5,Study model and threshold selection under asymmetric costs,Cost-only winning configuration,Random Forest,0.25,,C3,1.0,5.0,0.7822878228782287,0.6563467492260062,0.7138047138047138,,0.0143614956656747,111.0,59.0,212.0,7618.0,406.0,Lowest-cost configuration across the three models and tested thresholds for this cost scenario.
Experiment 5,Study model and threshold selection under asymmetric costs,Cost-only winning configuration,Random Forest,0.15,,C4,1.0,10.0,0.8487084870848709,0.4742268041237113,0.6084656084656084,,0.0329926251779014,255.0,41.0,230.0,7474.0,665.0,Lowest-cost configuration across the three models and tested thresholds for this cost scenario.
Experiment 5,Apply recall constraint together with asymmetric cost,Final-policy candidate,Random Forest,0.2,0.8,C3,1.0,5.0,0.8118081180811808,0.5699481865284974,0.6697108066971081,,0.0214775520765946,166.0,51.0,220.0,7563.0,421.0,Feasible configuration under the final operating policy: minimum recall 80% and FN cost five times FP cost.
Experiment 6,Final model and operating-point selection,Final selection,Random Forest,0.2,0.8,C3,1.0,5.0,0.8118081180811808,0.5699481865284974,0.6697108066971081,,0.0214775520765946,166.0,51.0,220.0,7563.0,421.0,Configuration frozen before evaluation on the untouched final test set.
Experiment 7,Final evaluation on untouched test set,Final test result,Random Forest,0.2,0.8,C3,1.0,5.0,0.8235294117647058,0.5656565656565656,0.6706586826347305,0.9652828522713434,0.0222567287784679,43.0,12.0,56.0,1889.0,103.0,Final evaluation performed once on the untouched 2000-row test set using the frozen Random Forest model and threshold 0.20.
